,interArrivalTime,maximumWaitingTime,RealServiceTime,RealSolvable,PredictedServiceTime,PredictedSolvable,ArrivalTime,MIPAttended,Stopped,MIPnotScheduled,MIPRunTime,QueuedInstances,TimeServiceBegins,TimeServiceEnds,WaitingTimeInQueue,TimeInstanceInSystem,IdleTimeOfServer,VM,Attended,Solved
160,1,26,22.0,True,4.0,True,6079.0,-1,0,0,0.0,1,6088.0,6110.0,9.0,31.0,0.0,0.0,1.0,1.0
161,28,13,3598.0,False,2852.0,False,6107.0,-1,0,0,0.0,1,6111.0,6111.0,4.0,4.0,0.0,0.0,0.0,0.0
162,40,6,1.0,True,12.0,True,6147.0,-1,0,0,0.0,0,6147.0,6148.0,0.0,1.0,36.0,0.0,1.0,1.0
163,4,23,8.0,True,3.0,True,6151.0,-1,0,0,0.0,0,6151.0,6159.0,0.0,8.0,3.0,0.0,1.0,1.0
164,18,11,2.0,True,7.0,True,6169.0,-1,0,0,0.0,0,6169.0,6171.0,0.0,2.0,10.0,0.0,1.0,1.0
165,47,9,3373.0,True,7.0,True,6216.0,-1,1,0,0.0,0,6216.0,6589.0,0.0,373.0,45.0,0.0,1.0,0.0
172,10,21,25.0,True,5.0,True,6560.0,-1,0,0,0.0,0,6590.0,6590.0,30.0,30.0,0.0,0.0,0.0,0.0
166,45,26,211.0,True,7.0,True,6261.0,-1,0,0,0.0,0,6591.0,6591.0,330.0,330.0,0.0,0.0,0.0,0.0
168,35,4,2.0,True,7.0,True,6371.0,-1,0,0,0.0,0,6592.0,6592.0,221.0,221.0,0.0,0.0,0.0,0.0
170,79,22,191.0,True,7.0,True,6527.0,-1,0,0,0.0,0,6593.0,6593.0,66.0,66.0,0.0,0.0,0.0,0.0
169,77,12,2518.0,True,7.0,True,6448.0,-1,0,0,0.0,0,6594.0,6594.0,146.0,146.0,0.0,0.0,0.0,0.0
167,75,17,1582.0,True,78.0,True,6336.0,-1,0,0,0.0,0,6595.0,6595.0,259.0,259.0,0.0,0.0,0.0,0.0
171,23,19,1.0,True,83.0,False,6550.0,-1,0,0,0.0,0,6596.0,6596.0,46.0,46.0,0.0,0.0,0.0,0.0
173,29,7,244.0,True,168.0,True,6589.0,-1,0,0,0.0,0,6597.0,6597.0,8.0,8.0,0.0,0.0,0.0,0.0
