,interArrivalTime,maximumWaitingTime,RealServiceTime,RealSolvable,PredictedServiceTime,PredictedSolvable,ArrivalTime,MIPAttended,Stopped,MIPnotScheduled,MIPRunTime,QueuedInstances,TimeServiceBegins,TimeServiceEnds,WaitingTimeInQueue,TimeInstanceInSystem,IdleTimeOfServer,VM,Attended,Solved
785,13,524,1.0,True,1.0,True,12387.0,1,0,0,0.0,3,12679.0,12680.0,292.0,293.0,0.0,0.0,1.0,1.0
791,25,599,208.0,True,208.0,True,12516.0,1,0,0,0.0,2,12681.0,12889.0,165.0,373.0,0.0,0.0,1.0,1.0
799,18,697,1.0,True,1.0,True,12652.0,1,0,0,0.0,1,12890.0,12891.0,238.0,239.0,0.0,0.0,1.0,1.0
810,18,524,1.0,True,1.0,True,12882.0,1,0,0,0.2,4,12892.0,12893.0,10.0,11.0,0.0,0.0,1.0,1.0
807,7,500,1.0,True,1.0,True,12822.0,1,0,0,0.0,3,12894.0,12895.0,72.0,73.0,0.0,0.0,1.0,1.0
806,22,590,1.0,True,1.0,True,12815.0,1,0,0,0.0,2,12896.0,12897.0,81.0,82.0,0.0,0.0,1.0,1.0
802,25,599,1.0,True,1.0,True,12720.0,1,0,0,0.0,1,12898.0,12899.0,178.0,179.0,0.0,0.0,1.0,1.0
804,26,654,1.0,True,1.0,True,12770.0,1,0,0,0.23,4,12900.0,12901.0,130.0,131.0,0.0,0.0,1.0,1.0
803,24,663,1.0,True,1.0,True,12744.0,1,0,0,0.0,3,12902.0,12903.0,158.0,159.0,0.0,0.0,1.0,1.0
808,30,567,1.0,True,1.0,True,12852.0,1,0,0,0.0,2,12904.0,12905.0,52.0,53.0,0.0,0.0,1.0,1.0
779,24,610,730.0,True,730.0,True,12319.0,0,0,1,0.14,4,12906.0,12906.0,587.0,587.0,0.0,0.0,0.0,0.0
788,14,533,518.0,True,518.0,True,12444.0,1,0,0,0.0,3,12907.0,13425.0,463.0,981.0,0.0,0.0,1.0,1.0
776,10,694,2099.0,True,2099.0,True,12261.0,0,0,1,0.0,6,13235.0,13235.0,974.0,974.0,0.0,2.0,0.0,0.0
783,13,559,1837.0,True,1837.0,True,12353.0,1,0,0,0.0,7,13235.0,13235.0,882.0,882.0,0.0,2.0,0.0,0.0
786,22,683,3598.0,False,3598.0,False,12409.0,-1,0,0,0.0,1,13235.0,13235.0,826.0,826.0,0.0,2.0,0.0,0.0
800,22,662,281.0,True,281.0,True,12674.0,1,0,0,0.0,2,13235.0,13516.0,561.0,842.0,0.0,2.0,1.0,1.0
795,28,744,2198.0,True,2198.0,True,12583.0,-1,0,0,0.0,7,13426.0,13426.0,843.0,843.0,0.0,0.0,0.0,0.0
801,21,561,3598.0,False,3598.0,False,12695.0,-1,0,0,0.0,4,13426.0,13426.0,731.0,731.0,0.0,0.0,0.0,0.0
805,23,560,3598.0,False,3598.0,False,12793.0,-1,0,0,0.0,2,13426.0,13426.0,633.0,633.0,0.0,0.0,0.0,0.0
